分類,植物名稱,採用單價_元,單位,參考規格,價格來源,狀態,備註,來源網址
喬木,紫薇,6680,株,工程會喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,黃玉蘭,300,株,盆苗參考,市場暫估,暫估,簡報暫用,
喬木,黃金蒲桃,500,株,8吋盆、高約4尺,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/product_one.asp?guid=5967EF93-3FFD-2746-8B4B-286ED3C64F6B
喬木,黃槿,2548,株,工程會喬木工項,110工程會,正式參考,採喬木項，不採灌木小苗項,https://www.pcc.gov.tw/
喬木,黃鐘花,120,株,盆苗參考,市場暫估,暫估,簡報暫用,
喬木,黑松,50,株,3.5吋、高約25cm,田尾市場價,市場參考,公開商品價,https://shopee.tw/q99a99z99
喬木,黑板樹,400,株,景觀苗參考,市場暫估,暫估,簡報暫用，正式估價建議依樹徑更新,
喬木,榔榆,2324,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,榕樹,824,株,工程會『正榕』工項,110工程會,正式參考,名稱硬對正榕,https://www.pcc.gov.tw/
喬木,臺灣三角楓,300,株,苗木參考,市場暫估,暫估,簡報暫用,
喬木,鳳凰木,13272,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,樹葡萄,100,株,3.5吋、高20–30cm,田尾市場價,市場參考,嘉寶果/樹葡萄公開商品價,https://www.twr.com.tw/product_one.asp?guid=6B7D621A-77D6-B445-A947-97B3094282BD
喬木,龍柏,1500,株,高約2m,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/ProductList.asp?categoryid=&mode=&pid=BC3E440F-9DCA-49B4-AE56-9A33F10DA0E4&pricemode=createdate
喬木,鵝掌柴,100,株,苗木參考,市場暫估,暫估,簡報暫用,
喬木,蘭嶼羅漢松,2025,株,工程會一般喬木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
喬木,鐵刀木,100,株,苗木參考,市場暫估,暫估,簡報暫用,
喬木,艷紫荊,100,株,4吋盆、高約80cm,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/product_one.asp?guid=4AC4B4BD-1170-F14A-AF22-8A96DED744A3
灌木,五彩千年木,50,株,3吋盆,台灣市場價,市場參考,田尾同級約45–55元，採50,https://shopee.tw/search?keyword=%E4%BA%94%E5%BD%A9%E5%8D%83%E5%B9%B4%E6%9C%A8
灌木,月橘,61,株,工程會灌木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
灌木,四季樹蘭,28,株,3.5吋、高25–30cm,田尾市場價,市場參考,以樹蘭公開商品價採用,https://www.twr.com.tw/productlist.asp?Page=2&mode=&pid=&pricemode=low
灌木,朱槿,80,株,10–13cm容器,110工程會,正式參考,工程會明確規格,https://www.pcc.gov.tw/
灌木,金葉女貞,140,株,6吋盆級參考,台灣市場價,市場參考,公開商品價約140,https://shopee.tw/search?keyword=%E5%A5%B3%E8%B2%9E
灌木,厚葉女貞,110,株,10–13cm容器,110工程會,正式參考,工程會明確規格,https://www.pcc.gov.tw/
灌木,春不老,75,株,寬20–30cm、10–13cm容器,110工程會,正式參考,採較具體規格工項,https://www.pcc.gov.tw/
灌木,紅花繼木,120,株,高20–30cm,田尾市場價,市場參考,紅繼木/紅彩木公開商品價,https://tw.bid.yahoo.com/item/100142033417
灌木,美葉蘇鐵,500,株,盆苗參考,市場暫估,暫估,簡報暫用,
灌木,胡椒木,157,株,工程會一般工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
灌木,茶花,200,株,盆苗參考,市場暫估,暫估,簡報暫用,
灌木,馬茶花,140,株,5吋、高約30cm,田尾市場價,市場參考,依既有別名規則以珍珠馬茶花價採用,https://www.twr.com.tw/productlist.asp?Page=4&mode=detail&pid=0A0CB705-A7EC-4C5B-B53C-0AB3E87F1433&pricemode=high
灌木,彩葉山漆莖,105,株,工程會一般工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
灌木,細葉雪茄花,36,株,寬<20cm、盆苗,110工程會,正式參考,採具體小苗規格,https://www.pcc.gov.tw/
灌木,斑葉海桐,170,株,5吋盆,台灣市場價,市場參考,公開商品價,https://shopee.tw/%E5%BF%83%E6%A0%BD%E8%8A%B1%E5%9D%8A-%E6%96%91%E8%91%89%E6%B5%B7%E6%A1%90-%E6%B5%B7%E6%A1%90-5%E5%90%8B-%E7%B6%A0%E5%8C%96%E7%92%B0%E5%A2%83-%E8%B3%9E%E8%91%89%E6%A4%8D%E7%89%A9-%E9%80%A0%E5%9E%8B%E6%A8%B9-%E7%89%B9%E5%83%B9170-i.11454839.8112537668
灌木,斑葉鵝掌藤,109,株,工程會一般工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
灌木,棕竹,70,株,3吋級參考,市場參考,市場參考,沿用觀音棕竹同級苗暫用,
灌木,紫花馬櫻丹,120,株,6吋盆、高約20cm,田尾市場價,市場參考,公開商品價,https://shopee.tw/%E7%94%B0%E5%B0%BE%E7%8E%AB%E7%91%B0%E5%9C%92-l-%E7%B4%AB%E8%89%B2%E9%A6%AC%E7%BA%93%E4%B8%B9%E3%80%81%E8%94%93%E6%80%A7%E7%B4%AB%E8%8A%B1%E9%A6%AC%E7%BA%93%E4%B8%B9%E3%80%81%E9%8B%AA%E5%9C%B0%E8%87%AD%E9%87%91%E9%B3%B3%E3%80%90-6%E5%90%8B%E7%9B%86-%E9%AB%98%E5%BA%A6%E7%B4%8420cm%E3%80%91%E8%A7%80%E8%8A%B1-%E5%9C%8D%E7%B1%AC%E6%A4%8D%E7%89%A9-%28%E6%A4%8D%E7%89%A9%E7%9C%BE%E5%A4%9A%E6%AD%A1%E8%BF%8E%E8%A9%A2%E5%95%8F%29-i.1123967.24615844679
灌木,銀葉菊,50,株,3吋盆,台灣市場價,市場參考,公開商品價,https://shopee.tw/%E9%8A%80%E8%91%89%E8%8F%8A%E2%8B%AF%E8%A7%80%E8%91%89%E6%A4%8D%E7%89%A9%EF%BD%9E3%E5%90%8B%E7%9B%86%E2%8B%AF-i.4774993.29969828253
灌木,變葉木,42,株,工程會灌木工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
地被,三星果藤,50,株,3吋級地被苗,市場暫估,暫估,簡報暫用,
地被,大鄧伯花,46,株,工程會一般工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
地被,文殊蘭,150,株,工程會一般工項,110工程會,正式參考,110工程會全區平均,https://www.pcc.gov.tw/
地被,木玫瑰,100,株,盆苗參考,市場暫估,暫估,簡報暫用,
地被,毛蝦蟆草,40,株,3吋級地被苗,市場暫估,暫估,簡報暫用,
地被,石菖蒲,50,株,3吋級地被苗,市場暫估,暫估,簡報暫用,
地被,尖尾姑婆芋,120,株,盆苗參考,市場暫估,暫估,簡報暫用,
地被,使君子,76,株,10–20cm寬、盆苗,110工程會,正式參考,工程會具體規格,https://www.pcc.gov.tw/
地被,波斯頓蕨,100,株,5吋吊盆,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/productlist.asp?Page=59&mode=&pid=&pricemode=high
地被,爬牆虎,50,株,3吋級藤本苗,市場暫估,暫估,簡報暫用,
地被,狐尾武竹,110,株,5吋盆,台灣市場價,市場參考,公開商品價,https://www.flowerworld.com.tw/products/index.php?group_id=17&keyword=&page=4&second_id=&useno=flowerworld
地被,金邊露兜,120,株,盆苗參考,市場暫估,暫估,簡報暫用,
地被,洋紅西番蓮,100,株,藤本盆苗參考,市場暫估,暫估,簡報暫用,
地被,炮仗花,100,株,藤本盆苗參考,市場暫估,暫估,簡報暫用,
地被,凌霄花,120,株,藤本盆苗參考,市場暫估,暫估,簡報暫用,
地被,馬蹄金,40,株,3吋盆,台灣市場價,市場參考,公開商品價,https://www.ruten.com.tw/item/22452494940667/
地被,斑葉月桃,100,株,盆苗參考,市場暫估,暫估,簡報暫用,
地被,雲南黃馨,80,株,盆苗參考,市場暫估,暫估,簡報暫用,
地被,臺灣油點草,30,株,高度<20cm、寬<10cm、小盆苗,110工程會,正式參考,以工程會『山油點草』硬對應,https://www.pcc.gov.tw/
地被,臺灣野牡丹藤,15,株,約10cm小苗,市場參考,市場參考,原生植物/田尾同類公開價,https://taiwanplant.org.tw/%E5%8E%9F%E7%94%9F%E6%A4%8D%E7%89%A9%E8%B3%BC%E8%B2%B7%E6%9C%8D%E5%8B%99%E5%B0%88%E5%8D%80/
地被,鳶尾花,125,株,工程會『台灣鳶尾』工項,110工程會,正式參考,名稱直接對應,https://www.pcc.gov.tw/
地被,蔓綠絨,75,株,3吋盆參考,台灣市場價,市場參考,以3吋蔓綠絨公開商品價採用,https://tw.bid.yahoo.com/item/101177915233
地被,錫葉藤,100,株,藤本盆苗參考,市場暫估,暫估,簡報暫用；後續再補正式商品規格,
地被,薜荔,20,株,3吋盆,田尾市場價,市場參考,公開商品價,https://www.twr.com.tw/product_one.asp?guid=B7E55758-5499-4D42-B00A-A17513CA8AEF
地被,闊葉麥門冬,72,株,3吋盆、高15–20cm,台灣市場價,市場參考,公開商品最低規格價,https://shopee.tw/%E8%8A%B1%E7%94%B0%E9%87%8C_%E8%8D%89%E6%9C%AC%E6%A4%8D%E7%89%A9-%E9%97%8A%E8%91%89%E9%BA%A5%E9%96%80%E5%86%AC-%E5%A4%A7%E8%91%89%E9%BA%A5%E9%96%80%E5%86%AC-3%E5%90%8B-6%E5%90%8B%E7%9B%86%E9%AB%9815~20CM-i.116400467.11609413740
